epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.44656,1.70038,3.16105,1.18389,0.00808,0.50077,0.14497,0.08475,1.27502,3.34669,0.92655,0.00020006,0.00020006,0.00020006
2,8.83517,1.63441,1.85688,1.10391,0.0083,0.62269,0.17984,0.10499,1.37648,3.18706,0.97522,0.000410307,0.000410307,0.000410307
3,13.2374,1.50036,1.59628,1.09455,0.009,0.64738,0.12842,0.0744,1.30488,3.12779,0.98662,0.000616311,0.000616311,0.000616311
4,17.6632,1.50976,1.48665,1.1235,0.00987,0.85031,0.2622,0.1669,1.23265,2.85068,0.99392,0.00081807,0.00081807,0.00081807
5,22.1008,1.47919,1.43873,1.1139,0.98403,0.10183,0.33327,0.17671,1.37701,2.35619,1.0817,0.00101558,0.00101558,0.00101558
6,26.4665,1.43848,1.39101,1.10694,1,0.08574,0.38535,0.21853,1.32741,2.25059,1.07284,0.00120886,0.00120886,0.00120886
7,31.099,1.45238,1.34597,1.12368,0.86904,0.35802,0.49075,0.28491,1.32702,1.63622,1.08406,0.00134412,0.00134412,0.00134412
8,35.403,1.45042,1.32371,1.13286,0.71968,0.34986,0.44688,0.25675,1.43061,1.38883,1.11315,0.00132997,0.00132997,0.00132997
9,39.7518,1.39264,1.29777,1.1082,0.79036,0.41358,0.52918,0.30252,1.46953,1.24256,1.12945,0.00131582,0.00131582,0.00131582
10,44.1116,1.33012,1.21067,1.06454,0.76616,0.35655,0.51292,0.26662,1.35491,1.30156,1.10452,0.00130168,0.00130168,0.00130168
11,48.4954,1.32053,1.22753,1.09796,0.72787,0.5463,0.59406,0.33214,1.33687,1.2284,1.07851,0.00128753,0.00128753,0.00128753
12,52.9235,1.34363,1.17699,1.08286,0.81889,0.52363,0.61667,0.35444,1.29296,1.09286,1.0737,0.00127338,0.00127338,0.00127338
13,57.2923,1.31182,1.15431,1.07535,0.74069,0.55123,0.59534,0.32879,1.34366,0.97868,1.1048,0.00125923,0.00125923,0.00125923
14,61.6507,1.28972,1.11672,1.07334,0.78991,0.61034,0.63907,0.35914,1.31797,1.03904,1.0817,0.00124509,0.00124509,0.00124509
15,66.0188,1.26083,1.09623,1.06599,0.92194,0.54514,0.65872,0.40372,1.23916,0.92394,1.07015,0.00123094,0.00123094,0.00123094
16,70.3391,1.26924,1.0818,1.06391,0.77499,0.61672,0.66264,0.38341,1.29491,0.97982,1.08104,0.00121679,0.00121679,0.00121679
17,74.6835,1.26326,1.04484,1.04819,0.75636,0.59259,0.66707,0.39963,1.15012,0.88106,1.02565,0.00120265,0.00120265,0.00120265
18,79.0772,1.26727,1.05311,1.05439,0.78652,0.60127,0.66649,0.4191,1.19038,0.87884,1.03883,0.0011885,0.0011885,0.0011885
19,83.4443,1.25196,1.01488,1.06648,0.86079,0.62078,0.68301,0.42037,1.20148,0.87183,1.07943,0.00117435,0.00117435,0.00117435
20,87.7675,1.23319,1.00221,1.04822,0.82168,0.63621,0.67335,0.40984,1.1849,0.87091,1.04483,0.00116021,0.00116021,0.00116021
21,92.0226,1.23663,0.98247,1.04268,0.807,0.65966,0.64603,0.39128,1.14479,0.90166,1.04057,0.00114606,0.00114606,0.00114606
22,96.3159,1.24506,1.02132,1.04679,0.66131,0.64399,0.62006,0.39666,1.19847,0.87041,1.04627,0.00113191,0.00113191,0.00113191
23,100.657,1.22625,0.98307,1.04494,0.82847,0.59583,0.65453,0.39868,1.19824,0.89337,1.05236,0.00111776,0.00111776,0.00111776
24,104.995,1.18722,0.9369,1.01258,0.78585,0.60108,0.64007,0.39717,1.19156,0.93164,1.03453,0.00110362,0.00110362,0.00110362
25,109.329,1.20968,0.9468,1.03882,0.75282,0.62577,0.65376,0.43774,1.11811,0.79849,0.99985,0.00108947,0.00108947,0.00108947
26,113.758,1.13877,0.88934,0.99272,0.90268,0.58444,0.68863,0.45097,1.11616,0.76233,1.02609,0.00107532,0.00107532,0.00107532
27,118.182,1.16105,0.90827,1.002,0.7877,0.59799,0.66761,0.42336,1.14911,0.76793,1.0159,0.00106118,0.00106118,0.00106118
28,122.553,1.16283,0.90532,1.00153,0.73479,0.65494,0.69115,0.4477,1.18171,0.85088,1.04056,0.00104703,0.00104703,0.00104703
29,126.817,1.16741,0.91676,1.01221,0.72177,0.63001,0.68405,0.45378,1.11947,0.81923,1.03738,0.00103288,0.00103288,0.00103288
30,131.131,1.15798,0.89566,1.00378,0.85863,0.57753,0.6549,0.4183,1.12347,0.81171,1.02039,0.00101873,0.00101873,0.00101873
31,135.463,1.14581,0.89343,1.00902,0.68195,0.61563,0.64811,0.42136,1.13631,0.85742,1.02295,0.00100459,0.00100459,0.00100459
32,139.881,1.13982,0.87767,1.01646,0.75158,0.5,0.58565,0.31365,1.23151,0.86827,1.07614,0.00099044,0.00099044,0.00099044
33,144.451,1.12022,0.83968,1.00751,0.75348,0.57745,0.6239,0.40316,1.11892,0.78154,1.02232,0.000976293,0.000976293,0.000976293
34,148.764,1.11542,0.83612,1.01121,0.77201,0.58707,0.65557,0.42598,1.16024,0.79023,1.03649,0.000962146,0.000962146,0.000962146
35,153.03,1.09496,0.82194,0.99235,0.7172,0.55924,0.62621,0.41766,1.17231,0.78936,1.06542,0.000947999,0.000947999,0.000947999
36,157.328,1.13688,0.85205,1.00672,0.88881,0.59572,0.71137,0.46944,1.13683,0.73969,1.05097,0.000933851,0.000933851,0.000933851
37,161.682,1.16032,0.86406,1.00677,0.6338,0.66799,0.67194,0.431,1.13784,0.74952,1.01964,0.000919704,0.000919704,0.000919704
